x,Curve1
"0,079","1,214"
"2,893","1,253"
"5,708","0,573"
"6,941","1,329"
"7,616","-7,302"
"8,047","-13,763"
"9,074","-14,604"
"9,864","-12,299"
"12,568","-9,39"
"13,907","-4,562"
"15,047","-7,201"
"17,122","-7,654"
"17,633","-11,476"
"18,545","-16,186"
"19,996","-13,598"
"20,918","-9,312"
"21,793","-19,32"
"23,472","-32,944"
"25,262","-47,284"
"27,004","-57,401"
"27,508","-55,873"
"30,095","-59,429"
"32,795","-62,265"
"34,238","-61,863"
"35,382","-64,385"
"36,156","-67,823"
"37,968","-69,377"
"39,682","-71,765"
"40,447","-67,189"
"41,7","-63,187"
